vorname,nachname,pid2,Beziehung
Mia,Müller,9,Freunde
Emma,Schmidt,21,Freunde
Hannah,Schneider,19,Freunde
Sofia,Fischer,7,Freunde
Anna,Weber,16,Freunde
Anna,Weber,19,Freunde
Emilia,Meyer,8,Freunde
Emilia,Meyer,16,Freunde
Lea,Bauer,15,Freunde
Ben,Koch,25,Freunde
Jonas,Richter,19,Freunde
Jonas,Richter,21,Freunde
Finn,Schröder,20,Freunde
Mia,Müller,4,Bekannte
Mia,Müller,7,Bekannte
Mia,Müller,17,Bekannte
Mia,Müller,20,Bekannte
Mia,Müller,23,Bekannte
Mia,Müller,24,Bekannte
Emma,Schmidt,3,Bekannte
Emma,Schmidt,5,Bekannte
Emma,Schmidt,6,Bekannte
Emma,Schmidt,8,Bekannte
Emma,Schmidt,10,Bekannte
Emma,Schmidt,11,Bekannte
Emma,Schmidt,12,Bekannte
Emma,Schmidt,13,Bekannte
Emma,Schmidt,14,Bekannte
Emma,Schmidt,15,Bekannte
Emma,Schmidt,16,Bekannte
Emma,Schmidt,19,Bekannte
Emma,Schmidt,25,Bekannte
Hannah,Schneider,5,Bekannte
Hannah,Schneider,6,Bekannte
Hannah,Schneider,8,Bekannte
Hannah,Schneider,10,Bekannte
Hannah,Schneider,11,Bekannte
Hannah,Schneider,12,Bekannte
Hannah,Schneider,13,Bekannte
Hannah,Schneider,14,Bekannte
Hannah,Schneider,15,Bekannte
Hannah,Schneider,16,Bekannte
Hannah,Schneider,21,Bekannte
Hannah,Schneider,25,Bekannte
Sofia,Fischer,9,Bekannte
Sofia,Fischer,17,Bekannte
Sofia,Fischer,20,Bekannte
Sofia,Fischer,23,Bekannte
Sofia,Fischer,24,Bekannte
Anna,Weber,6,Bekannte
Anna,Weber,8,Bekannte
Anna,Weber,10,Bekannte
Anna,Weber,11,Bekannte
Anna,Weber,12,Bekannte
Anna,Weber,13,Bekannte
Anna,Weber,14,Bekannte
Anna,Weber,15,Bekannte
Anna,Weber,21,Bekannte
Anna,Weber,25,Bekannte
Emilia,Meyer,10,Bekannte
Emilia,Meyer,11,Bekannte
Emilia,Meyer,12,Bekannte
Emilia,Meyer,13,Bekannte
Emilia,Meyer,14,Bekannte
Emilia,Meyer,15,Bekannte
